Date,P_I,EU_H,C_H,SO_I,CFNAI,CFNAI_MA3,DIFFUSION
2021:03,1.06,0.38,0.61,0.24,2.29,0.49,0.36
2021:04,-0.01,0.07,0.02,0.02,0.11,0.23,0.18
2021:05,0.33,0.18,-0.10,-0.18,0.25,0.88,0.40
2021:06,0.03,0.11,0.05,0.10,0.29,0.22,0.24
2021:07,0.28,0.40,-0.11,0.20,0.77,0.44,0.42
2021:08,-0.06,0.19,0.04,-0.02,0.15,0.40,0.29
2021:09,-0.33,0.22,0.02,0.08,0.00,0.31,0.24
2021:10,0.37,0.33,0.06,0.06,0.81,0.32,0.29
2021:11,0.32,0.30,0.02,0.12,0.75,0.52,0.51
2021:12,-0.11,0.22,-0.04,0.12,0.19,0.58,0.50
2022:01,-0.09,0.02,0.03,-0.07,-0.11,0.27,0.24
2022:02,0.30,0.40,0.02,-0.13,0.59,0.22,0.18
2022:03,0.20,0.22,0.07,-0.03,0.46,0.31,0.34
2022:04,0.06,0.02,0.08,-0.12,0.03,0.36,0.34
2022:05,-0.15,0.05,-0.05,-0.19,-0.35,0.05,0.11
2022:06,-0.18,0.03,-0.02,-0.06,-0.23,-0.18,-0.19
2022:07,0.07,0.14,-0.03,0.00,0.18,-0.13,-0.07
2022:08,-0.02,-0.06,0.04,0.21,0.18,0.04,0.12
2022:09,-0.01,0.10,0.01,-0.01,0.08,0.15,0.26
2022:10,-0.06,0.02,0.01,-0.06,-0.10,0.06,0.16
2022:11,-0.24,-0.02,-0.10,-0.19,-0.56,-0.19,-0.10
2022:12,-0.71,0.01,-0.04,0.23,-0.51,-0.39,-0.20
2023:01,0.36,0.10,0.10,-0.13,0.42,-0.21,-0.10
2023:02,-0.04,-0.09,-0.05,-0.10,-0.28,-0.12,-0.03
2023:03,-0.20,-0.05,-0.08,-0.19,-0.53,-0.13,-0.14
2023:04,0.18,0.07,-0.03,-0.12,0.09,-0.24,-0.22
2023:05,-0.19,-0.07,0.01,0.08,-0.16,-0.20,-0.15
2023:06,-0.35,0.01,-0.02,-0.03,-0.39,-0.15,-0.08
2023:07,0.15,-0.04,0.03,0.03,0.17,-0.13,0.00
2023:08,-0.11,-0.01,-0.05,-0.08,-0.25,-0.16,-0.14
2023:09,-0.03,-0.01,0.01,0.04,0.00,-0.03,0.01
2023:10,-0.31,-0.12,-0.04,-0.14,-0.61,-0.29,-0.33
2023:11,0.12,0.01,0.01,0.10,0.25,-0.12,-0.08
